epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.7108,1.71057,3.0969,1.47714,0.39199,0.36488,0.34352,0.17391,1.61124,3.24568,1.35971,0.00993289,0.00331096,0.00993289,0.00331096,0.00993289,0.00331096,0.00993289,0.00331096
2,83.4753,1.64473,2.34199,1.42825,0.40168,0.4081,0.35804,0.15887,1.66927,2.86931,1.4882,0.0198671,0.00662237,0.0198671,0.00662237,0.0198671,0.00662237,0.0198671,0.00662237
3,107.424,1.70736,2.06996,1.45482,0.4712,0.44736,0.41459,0.18089,1.74329,2.55312,1.55218,0.0297353,0.00991178,0.0297353,0.00991178,0.0297353,0.00991178,0.0297353,0.00991178
4,130.631,1.74979,1.9065,1.49932,0.4285,0.46233,0.39271,0.1659,1.84827,2.52356,1.68844,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,153.74,1.73912,1.76491,1.50265,0.52078,0.48625,0.49867,0.23954,1.7356,1.7908,1.56726,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,176.74,1.71521,1.65155,1.49662,0.5604,0.48907,0.50188,0.23028,1.84508,2.21814,1.64683,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,199.85,1.71865,1.56114,1.48593,0.60986,0.54435,0.56933,0.2752,1.72136,1.9701,1.56311,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,222.753,1.67042,1.48308,1.46102,0.59552,0.52232,0.58131,0.28469,1.64649,1.80467,1.52591,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,245.729,1.64784,1.42293,1.46199,0.62262,0.58181,0.60521,0.31377,1.65612,1.49548,1.52221,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,268.913,1.66126,1.40095,1.46163,0.67244,0.59889,0.65507,0.33141,1.62741,1.42083,1.4835,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,291.838,1.62545,1.33125,1.43491,0.69662,0.58878,0.66168,0.34794,1.59973,1.33454,1.46402,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,314.812,1.60634,1.30086,1.43223,0.69419,0.63359,0.66615,0.34993,1.5542,1.27097,1.41656,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,338.739,1.58155,1.27046,1.41046,0.68818,0.61412,0.66826,0.37207,1.58249,1.40368,1.4528,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,362.049,1.57315,1.25606,1.42057,0.72721,0.66607,0.72592,0.40515,1.54713,1.11554,1.42533,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,385.214,1.55951,1.20774,1.40712,0.73979,0.6745,0.74328,0.42833,1.53708,1.19834,1.4095,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,408.103,1.55836,1.20156,1.39153,0.75897,0.67067,0.74551,0.42428,1.511,1.05497,1.38391,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,431.427,1.53588,1.17074,1.37822,0.71608,0.6704,0.74685,0.42767,1.49678,1.11098,1.39176,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,454.538,1.50794,1.1229,1.3772,0.74203,0.68315,0.76441,0.44308,1.48537,1.01604,1.37131,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,478.096,1.50051,1.10764,1.36008,0.76236,0.67974,0.77296,0.45369,1.49021,1.06899,1.36595,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,501.122,1.48511,1.08037,1.34785,0.77606,0.71068,0.7934,0.48069,1.46671,0.92861,1.35115,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,524.608,1.46832,1.06773,1.3351,0.80159,0.68925,0.80166,0.48055,1.46827,0.97914,1.37553,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,547.739,1.45473,1.04786,1.34233,0.81169,0.69677,0.80754,0.49411,1.42844,0.8756,1.35343,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,571.219,1.43076,1.01246,1.31891,0.79444,0.71473,0.80788,0.49635,1.40811,0.99685,1.34411,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,594.237,1.43505,1.0237,1.3215,0.81874,0.75029,0.85001,0.52485,1.39537,0.87654,1.3246,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,617.624,1.41522,0.99717,1.30856,0.80345,0.74072,0.82591,0.53026,1.35182,0.87636,1.31085,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,640.826,1.41059,0.99124,1.30629,0.85521,0.70575,0.82724,0.5323,1.35599,0.8945,1.30233,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,664.159,1.38592,0.97509,1.3041,0.79619,0.76175,0.84923,0.55519,1.34801,0.86143,1.31497,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
