epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1132,1.24264,2.80488,1.32823,0.85338,0.35862,0.36809,0.21939,1.29764,1.29302,1.39599,0.000554418,0.000554418,0.000554418
2,153.717,1.32321,1.29957,1.36581,0.85269,0.36664,0.39,0.22905,1.32383,1.2065,1.44021,0.0010881,0.0010881,0.0010881
3,234.937,1.33567,1.19706,1.36752,0.85247,0.37717,0.40269,0.2313,1.32036,1.18247,1.48231,0.00159979,0.00159979,0.00159979
4,317.463,1.3376,1.17826,1.36909,0.86402,0.37343,0.40509,0.23807,1.3253,1.2299,1.43852,0.00156798,0.00156798,0.00156798
5,400.029,1.36159,1.12784,1.38299,0.40259,0.43596,0.41195,0.23648,1.39262,1.13814,1.4751,0.00153497,0.00153497,0.00153497
6,481.409,1.37371,1.1447,1.39033,0.36809,0.47147,0.41304,0.23838,1.3443,1.11523,1.48807,0.00150197,0.00150197,0.00150197
7,568.119,1.34976,1.12283,1.37014,0.86038,0.36979,0.4264,0.243,1.38377,1.13094,1.43568,0.00146896,0.00146896,0.00146896
8,654.496,1.33385,1.0998,1.35633,0.85648,0.37106,0.43149,0.2513,1.32313,1.13359,1.44282,0.00143595,0.00143595,0.00143595
9,740.341,1.30193,1.07896,1.33591,0.41228,0.52109,0.44183,0.25709,1.34656,1.06266,1.46104,0.00140295,0.00140295,0.00140295
10,827.802,1.33303,1.05166,1.3492,0.41693,0.53355,0.45396,0.26,1.34371,1.08203,1.42237,0.00136994,0.00136994,0.00136994
11,914.104,1.31786,1.05511,1.3439,0.4169,0.48354,0.47499,0.27159,1.34031,1.06088,1.42357,0.00133693,0.00133693,0.00133693
12,996.365,1.32045,1.03351,1.32244,0.41089,0.4774,0.46139,0.27346,1.31009,1.08928,1.41954,0.00130393,0.00130393,0.00130393
13,1080.12,1.29753,1.01273,1.31453,0.47734,0.49246,0.46816,0.2702,1.31623,1.06803,1.41505,0.00127092,0.00127092,0.00127092
14,1905.31,1.28078,0.98723,1.31582,0.4111,0.51514,0.46446,0.2694,1.29779,1.08104,1.4243,0.00123791,0.00123791,0.00123791
15,1978.81,1.2565,1.00839,1.29975,0.33041,0.50382,0.45545,0.26883,1.30738,1.0909,1.40552,0.00120491,0.00120491,0.00120491
16,2086.34,1.25688,0.99237,1.29033,0.36226,0.5061,0.44427,0.26245,1.29076,1.03018,1.41742,0.0011719,0.0011719,0.0011719
17,2357.78,1.26306,0.98818,1.29243,0.39863,0.55782,0.45577,0.27199,1.29538,0.9898,1.41399,0.00113889,0.00113889,0.00113889
18,2437.59,1.24822,0.94978,1.28905,0.38521,0.54353,0.4595,0.27737,1.27831,1.02734,1.39522,0.00110589,0.00110589,0.00110589
19,2517.79,1.22573,0.92875,1.27807,0.43669,0.55571,0.48681,0.28641,1.27868,1.07067,1.40891,0.00107288,0.00107288,0.00107288
20,2600.25,1.23066,0.95426,1.27004,0.38651,0.54995,0.46204,0.27621,1.27496,1.00721,1.39055,0.00103987,0.00103987,0.00103987
21,2685.2,1.21037,0.92574,1.26078,0.43883,0.62388,0.4946,0.29318,1.25422,1.00765,1.37244,0.00100687,0.00100687,0.00100687
22,2769.22,1.22172,0.93263,1.27241,0.39592,0.50311,0.47919,0.28779,1.28031,0.98584,1.40389,0.000973861,0.000973861,0.000973861
23,2851.84,1.18364,0.92413,1.25275,0.42067,0.51278,0.47292,0.28552,1.25494,1.02928,1.38639,0.000940855,0.000940855,0.000940855
24,2934.99,1.17344,0.93454,1.24894,0.38559,0.53712,0.47946,0.29195,1.24274,0.98392,1.3925,0.000907848,0.000907848,0.000907848
25,3019.71,1.16793,0.90059,1.24279,0.46887,0.5632,0.50778,0.29999,1.26565,0.98833,1.40373,0.000874842,0.000874842,0.000874842
26,3121.55,1.15659,0.90041,1.23986,0.4745,0.53057,0.50349,0.29984,1.25091,0.95763,1.37536,0.000841835,0.000841835,0.000841835
27,3225.46,1.13068,0.88874,1.23317,0.47541,0.5338,0.49477,0.30057,1.22856,0.97231,1.36005,0.000808828,0.000808828,0.000808828
28,3309.31,1.1514,0.87002,1.2313,0.42568,0.5826,0.48825,0.2954,1.2389,0.97265,1.35277,0.000775822,0.000775822,0.000775822
29,3393.97,1.1426,0.88551,1.22338,0.48422,0.5246,0.50937,0.30807,1.24827,0.96372,1.36307,0.000742815,0.000742815,0.000742815
30,3478.7,1.11324,0.84964,1.21001,0.47653,0.56327,0.50168,0.30153,1.23521,0.96131,1.36075,0.000709809,0.000709809,0.000709809
31,3562.07,1.11712,0.86348,1.21373,0.48325,0.56327,0.52161,0.31021,1.23452,0.95056,1.36879,0.000676802,0.000676802,0.000676802
32,3647.18,1.10914,0.8756,1.20575,0.49985,0.60406,0.50839,0.30102,1.22904,0.97491,1.36477,0.000643795,0.000643795,0.000643795
33,3730.64,1.10919,0.85332,1.21127,0.50579,0.52294,0.50626,0.30604,1.20685,0.95799,1.33318,0.000610789,0.000610789,0.000610789
34,3820.35,1.09163,0.84183,1.19279,0.50885,0.54795,0.52133,0.31331,1.20688,0.96436,1.34036,0.000577782,0.000577782,0.000577782
35,3903.77,1.08684,0.82599,1.18612,0.49553,0.55266,0.5136,0.31094,1.20639,0.95763,1.33898,0.000544776,0.000544776,0.000544776
36,3987.93,1.08873,0.83588,1.19654,0.47844,0.54887,0.51079,0.3111,1.19975,0.9689,1.34382,0.000511769,0.000511769,0.000511769
37,4070.86,1.08777,0.84116,1.19398,0.44569,0.58992,0.50316,0.30882,1.21751,0.94798,1.36019,0.000478762,0.000478762,0.000478762
38,4154.73,1.06552,0.83313,1.18542,0.46291,0.57035,0.49289,0.30298,1.21253,0.93851,1.34083,0.000445756,0.000445756,0.000445756
39,4238.59,1.05413,0.79932,1.16996,0.45329,0.57223,0.49663,0.30745,1.20015,0.94284,1.33926,0.000412749,0.000412749,0.000412749
40,4322.87,1.06174,0.82262,1.17923,0.48894,0.59982,0.52032,0.31628,1.2029,0.93676,1.34771,0.000379743,0.000379743,0.000379743
41,4414.89,0.92763,0.66772,1.1124,0.48647,0.56421,0.53121,0.3145,1.21018,0.95923,1.36635,0.000346736,0.000346736,0.000346736
42,4498.04,0.92306,0.63626,1.11407,0.48563,0.61185,0.52123,0.31746,1.20317,0.95661,1.34441,0.000313729,0.000313729,0.000313729
43,4581.69,0.90127,0.60527,1.10213,0.46802,0.62104,0.53134,0.32471,1.20657,0.97417,1.349,0.000280723,0.000280723,0.000280723
44,4663.46,0.89659,0.61245,1.09516,0.49401,0.6095,0.52535,0.32212,1.19323,0.96375,1.34913,0.000247716,0.000247716,0.000247716
45,4746.44,0.89064,0.60793,1.09081,0.48871,0.61882,0.51318,0.31985,1.19402,0.93375,1.34082,0.00021471,0.00021471,0.00021471
46,4829.41,0.88143,0.58011,1.08946,0.47874,0.5977,0.51513,0.31911,1.19332,0.93712,1.34712,0.000181703,0.000181703,0.000181703
47,4911.88,0.86915,0.57494,1.07733,0.48725,0.64275,0.51202,0.31867,1.19376,0.93553,1.34132,0.000148696,0.000148696,0.000148696
48,4994.03,0.87726,0.60024,1.08307,0.47693,0.62676,0.50949,0.32,1.19378,0.92953,1.34208,0.00011569,0.00011569,0.00011569
