epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1007.03,1.87763,4.24698,1.59181,0.16622,0.26405,0.10496,0.03157,2.34223,6.03793,2.03573,0.000663399,0.000663399,0.000663399
2,964.527,2.11875,2.36986,1.93786,0.26638,0.31716,0.20785,0.07093,2.1968,3.95217,2.01099,0.00130373,0.00130373,0.00130373
3,1910.07,2.02623,2.21487,1.75929,0.37422,0.35147,0.28783,0.09106,2.30588,3.54724,2.20686,0.00191766,0.00191766,0.00191766
4,971.173,2.14815,2.22755,2.11175,0.51595,0.44363,0.44816,0.16806,2.04585,2.49281,1.8597,0.0018812,0.0018812,0.0018812
5,1987.81,1.96715,2.00909,1.70213,0.57221,0.47451,0.51847,0.21196,1.95774,2.46088,1.81149,0.0018416,0.0018416,0.0018416
6,2989.97,1.92296,1.92798,1.6905,0.46674,0.40392,0.39363,0.14835,1.99594,2.37393,1.79838,0.001802,0.001802,0.001802
7,3971.75,1.88055,1.83586,1.6487,0.6387,0.55147,0.60192,0.256,1.91654,1.71271,1.72582,0.0017624,0.0017624,0.0017624
8,4949.93,1.85886,1.74105,1.62305,0.65492,0.56657,0.6355,0.28463,1.81657,1.73477,1.68407,0.0017228,0.0017228,0.0017228
9,5999.51,1.84432,1.73231,1.612,0.64113,0.58431,0.63833,0.28998,1.79297,1.5807,1.65076,0.0016832,0.0016832,0.0016832
10,6953.78,1.82409,1.66594,1.60663,0.68524,0.63333,0.70165,0.33112,1.78293,1.48,1.64585,0.0016436,0.0016436,0.0016436
11,7907.09,1.80581,1.60614,1.60066,0.67674,0.61777,0.68432,0.32094,1.72681,1.74347,1.60416,0.001604,0.001604,0.001604
12,11215.1,1.77563,1.59547,1.57172,0.67057,0.61127,0.67142,0.30398,1.75228,1.58719,1.64013,0.0015644,0.0015644,0.0015644
13,12437.6,1.77799,1.5616,1.57697,0.70658,0.62745,0.7017,0.34036,1.72393,1.49687,1.62511,0.0015248,0.0015248,0.0015248
14,21631.4,1.77941,1.52833,1.56359,0.70104,0.62157,0.69444,0.33765,1.71831,1.49156,1.59799,0.0014852,0.0014852,0.0014852
15,56242.5,1.73697,1.45291,1.54088,0.71392,0.64951,0.72745,0.35412,1.68866,1.36454,1.58865,0.0014456,0.0014456,0.0014456
16,57234.1,1.70175,1.44655,1.52245,0.72692,0.65895,0.75069,0.37214,1.67334,1.28842,1.54345,0.001406,0.001406,0.001406
17,58230.2,1.67984,1.39192,1.50606,0.74181,0.63578,0.72459,0.36996,1.58885,1.39102,1.51608,0.0013664,0.0013664,0.0013664
18,59224.5,1.68011,1.40292,1.52737,0.73355,0.68627,0.76679,0.382,1.64247,1.32904,1.55426,0.0013268,0.0013268,0.0013268
