epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8115,2.47624,21.9611,3.24292,0.00448,0.01562,0.00141,0.00044,2.69034,33.7879,3.32143,0.00030006,0.00030006,0.00030006
2,15.3939,1.83531,8.46459,2.04458,0.00594,0.85938,0.04536,0.01621,1.65302,5.30544,2.07233,0.000604578,0.000604578,0.000604578
3,19.002,1.58585,4.10514,1.75743,0.00681,0.89062,0.15623,0.05673,1.57514,2.94391,2.0123,0.000896553,0.000896553,0.000896553
4,22.5879,1.46947,3.15319,1.60975,0.00799,0.9375,0.14803,0.04966,1.52045,2.69079,1.98421,0.00117599,0.00117599,0.00117599
5,25.9686,1.44791,2.67965,1.56826,0.21443,0.71875,0.3028,0.11082,1.5476,2.36698,1.90233,0.00144288,0.00144288,0.00144288
6,29.2428,1.51101,2.30493,1.64714,0.34779,0.5625,0.39892,0.15087,1.68776,2.09419,2.04715,0.00150197,0.00150197,0.00150197
7,32.6462,1.47616,1.95394,1.58837,0.47196,0.54688,0.43737,0.23222,1.57791,1.65555,1.8359,0.00146896,0.00146896,0.00146896
8,35.8489,1.56237,1.78853,1.61819,0.50197,0.504,0.4724,0.24222,1.63159,1.58854,1.87392,0.00143595,0.00143595,0.00143595
9,39.0129,1.54126,1.60769,1.60738,0.45634,0.56399,0.50419,0.20691,1.86312,1.46891,2.04593,0.00140295,0.00140295,0.00140295
10,42.0665,1.5624,1.50226,1.54977,0.51499,0.59731,0.57453,0.27452,1.89042,1.15856,2.03043,0.00136994,0.00136994,0.00136994
11,45.1719,1.52055,1.4253,1.54166,0.78327,0.48438,0.62915,0.31184,1.81076,1.29196,1.95387,0.00133693,0.00133693,0.00133693
12,48.1919,1.48156,1.45369,1.47699,0.68098,0.59375,0.69745,0.36196,1.7083,1.16646,2.00991,0.00130393,0.00130393,0.00130393
13,51.2568,1.47405,1.38589,1.48455,0.66998,0.65625,0.72677,0.37103,1.73568,1.08238,2.0282,0.00127092,0.00127092,0.00127092
