epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7073,1.05851,1.18382,1.16981,0.59347,0.65171,0.66874,0.42946,1.3564,1.39673,1.48503,0.000540231,0.000540231,0.000540231
2,17.1939,1.04472,0.97355,1.14371,0.73129,0.60887,0.6772,0.45511,1.33996,1.29691,1.49766,0.00109583,0.00109583,0.00109583
3,23.404,1.07993,0.95574,1.1864,0.65387,0.61394,0.64759,0.4318,1.35818,1.49836,1.54235,0.00165116,0.00165116,0.00165116
4,29.7041,1.05736,0.93309,1.18045,0.72405,0.59389,0.66242,0.45046,1.37531,1.54979,1.45575,0.00166607,0.00166607,0.00166607
5,35.975,1.08909,0.89834,1.17711,0.70187,0.66571,0.71057,0.47388,1.37234,1.40133,1.47774,0.00166536,0.00166536,0.00166536
6,42.229,1.07237,0.85799,1.161,0.64813,0.69178,0.70047,0.47631,1.38858,1.33992,1.48951,0.00166443,0.00166443,0.00166443
7,48.8604,1.08615,0.89374,1.17129,0.67774,0.68095,0.69085,0.46174,1.45974,1.58405,1.55597,0.0016633,0.0016633,0.0016633
8,55.6131,1.11104,0.82483,1.15484,0.6218,0.68046,0.65972,0.42697,1.48659,1.73276,1.60139,0.00166197,0.00166197,0.00166197
9,62.2297,1.07488,0.81992,1.16792,0.66467,0.59627,0.63598,0.40781,1.46789,1.65743,1.55864,0.00166043,0.00166043,0.00166043
10,70.3721,1.06792,0.79018,1.15602,0.69607,0.67543,0.70256,0.45214,1.43631,1.63764,1.53511,0.00165869,0.00165869,0.00165869
11,78.4335,1.0907,0.82019,1.16816,0.6427,0.69715,0.69389,0.4408,1.47734,1.64734,1.60562,0.00165674,0.00165674,0.00165674
12,86.5628,1.03597,0.80065,1.14199,0.6707,0.68448,0.70895,0.45869,1.4068,1.3965,1.51898,0.00165459,0.00165459,0.00165459
