epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5767,1.5124,1.75127,1.2875,0.55644,0.62273,0.61359,0.34862,1.53934,1.72561,1.34664,0.000547949,0.000547949,0.000547949
2,24.2023,1.48291,1.50688,1.26181,0.52794,0.63281,0.6152,0.38897,1.51352,1.53904,1.2893,0.00110334,0.00110334,0.00110334
3,35.2367,1.42836,1.35713,1.24259,0.61329,0.67135,0.62686,0.37957,1.56865,1.67891,1.36033,0.00165765,0.00165765,0.00165765
4,45.8035,1.39332,1.32162,1.22957,0.64341,0.6565,0.6486,0.38289,1.58646,1.74537,1.35768,0.0016633,0.0016633,0.0016633
5,56.7618,1.3574,1.26018,1.21994,0.61166,0.63168,0.62765,0.38966,1.50897,1.57678,1.30718,0.00166043,0.00166043,0.00166043
6,67.4874,1.40904,1.22385,1.20401,0.73332,0.65373,0.68621,0.41286,1.48573,1.5649,1.31387,0.00165674,0.00165674,0.00165674
7,78.8449,1.35956,1.1917,1.1857,0.66938,0.57586,0.62641,0.37285,1.60079,1.94394,1.34926,0.00165224,0.00165224,0.00165224
8,90.1331,1.34427,1.18503,1.20064,0.7086,0.59526,0.63337,0.38892,1.55449,1.77992,1.31939,0.00164693,0.00164693,0.00164693
9,101.689,1.36943,1.26273,1.202,0.67918,0.59931,0.62792,0.37022,1.52863,1.92587,1.29093,0.00164082,0.00164082,0.00164082
10,112.894,1.36452,1.19249,1.19174,0.6335,0.63004,0.64862,0.37686,1.6101,1.58873,1.37132,0.00163391,0.00163391,0.00163391
11,124.318,1.37597,1.21239,1.18631,0.73299,0.58342,0.65752,0.41962,1.4588,1.99585,1.28094,0.00162621,0.00162621,0.00162621
12,135.544,1.36052,1.10131,1.17245,0.69568,0.59378,0.65952,0.40527,1.53103,1.65766,1.27665,0.00161773,0.00161773,0.00161773
13,146.764,1.38981,1.10398,1.17203,0.70527,0.63102,0.65115,0.38966,1.58064,1.80783,1.34826,0.00160847,0.00160847,0.00160847
14,158.472,1.31217,1.08297,1.1778,0.73051,0.60525,0.64704,0.38642,1.55249,1.65704,1.3168,0.00159846,0.00159846,0.00159846
15,169.634,1.31985,1.07812,1.17773,0.67628,0.6611,0.66542,0.41498,1.53705,1.59908,1.32837,0.00158768,0.00158768,0.00158768
16,180.604,1.33222,1.00459,1.15797,0.75725,0.63071,0.68509,0.41411,1.59964,1.68163,1.3635,0.00157616,0.00157616,0.00157616
17,191.515,1.28226,1.01672,1.16262,0.76178,0.63871,0.69149,0.42467,1.55247,1.62882,1.33611,0.00156391,0.00156391,0.00156391
18,203.089,1.29771,0.98561,1.16584,0.68922,0.65978,0.67909,0.41763,1.56518,1.60836,1.31831,0.00155094,0.00155094,0.00155094
19,214.399,1.28172,0.9954,1.15701,0.66523,0.64334,0.66591,0.41045,1.54152,1.75753,1.33152,0.00153726,0.00153726,0.00153726
20,225.542,1.34552,1.08218,1.17017,0.72479,0.66709,0.69729,0.41008,1.59247,1.54933,1.35446,0.00152289,0.00152289,0.00152289
21,236.484,1.28197,1.04793,1.1576,0.67223,0.65616,0.62369,0.40031,1.53892,1.97031,1.37055,0.00150783,0.00150783,0.00150783
22,247.26,1.22361,1.07758,1.15856,0.76182,0.62671,0.64152,0.40061,1.58463,1.59708,1.34811,0.00149211,0.00149211,0.00149211
23,258.114,1.27585,1.06546,1.16237,0.72931,0.65877,0.6684,0.40574,1.57626,1.55963,1.33491,0.00147574,0.00147574,0.00147574
24,269.66,1.26923,1.06444,1.1771,0.68229,0.67674,0.67084,0.42109,1.59502,2.01228,1.36675,0.00145874,0.00145874,0.00145874
25,280.751,1.25141,0.98723,1.1236,0.74382,0.61517,0.664,0.42029,1.6002,1.67664,1.37603,0.00144112,0.00144112,0.00144112
26,292.299,1.24361,1.06114,1.14107,0.75294,0.68347,0.68279,0.42072,1.54547,1.64365,1.34774,0.0014229,0.0014229,0.0014229
27,303.72,1.17568,0.93745,1.13171,0.71086,0.69735,0.70545,0.44342,1.53758,1.70217,1.34225,0.0014041,0.0014041,0.0014041
28,315.046,1.247,0.97821,1.14629,0.71504,0.7054,0.71916,0.4475,1.57009,1.39053,1.35541,0.00138473,0.00138473,0.00138473
29,326.298,1.22296,0.98134,1.14079,0.73439,0.67646,0.71255,0.45396,1.54508,1.4728,1.34997,0.00136482,0.00136482,0.00136482
