epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2459,1.29779,0.998,1.34575,0.89828,0.77401,0.88957,0.61218,1.09122,0.82896,1.21818,0.000664729,0.000664729,0.000664729
2,81.9169,1.31358,1.04535,1.35138,0.84385,0.75752,0.85948,0.55544,1.21007,0.88428,1.29867,0.00131821,0.00131821,0.00131821
3,122.002,1.36413,1.13626,1.39642,0.82124,0.77595,0.8619,0.55802,1.21754,0.8682,1.31376,0.0019585,0.0019585,0.0019585
4,164.268,1.36805,1.1516,1.40183,0.84621,0.79825,0.87486,0.5631,1.22318,0.86659,1.3177,0.0019406,0.0019406,0.0019406
5,203.856,1.37924,1.13447,1.40397,0.86159,0.79697,0.87366,0.58028,1.17845,0.83199,1.27249,0.0019208,0.0019208,0.0019208
6,244.229,1.32178,1.06615,1.36766,0.84934,0.76006,0.86693,0.58126,1.22169,0.86374,1.30372,0.001901,0.001901,0.001901
7,291.842,1.33559,1.12705,1.36294,0.8508,0.76819,0.86924,0.56172,1.22072,0.88222,1.31544,0.0018812,0.0018812,0.0018812
8,354.753,1.31214,1.0623,1.35309,0.83688,0.78128,0.86413,0.56568,1.20034,0.87714,1.31643,0.0018614,0.0018614,0.0018614
9,420.023,1.27464,1.03563,1.3374,0.83445,0.77401,0.87099,0.57502,1.14315,0.89859,1.26932,0.0018416,0.0018416,0.0018416
10,483.89,1.28415,1.02784,1.33587,0.84532,0.79146,0.87534,0.58065,1.11139,0.84948,1.25756,0.0018218,0.0018218,0.0018218
11,545.014,1.26818,1.01453,1.33609,0.84695,0.79049,0.87026,0.59545,1.15882,0.84634,1.29314,0.001802,0.001802,0.001802
12,608.248,1.22041,0.97091,1.29722,0.85714,0.80892,0.88357,0.61137,1.12518,0.82556,1.24805,0.0017822,0.0017822,0.0017822
13,671.277,1.23434,0.9918,1.31019,0.8968,0.77595,0.8888,0.61775,1.10074,0.79453,1.26006,0.0017624,0.0017624,0.0017624
14,718.931,1.21878,0.96626,1.30587,0.83251,0.7955,0.87726,0.60726,1.1295,0.86987,1.26859,0.0017426,0.0017426,0.0017426
15,758.505,1.20168,0.97603,1.30112,0.85651,0.77789,0.87899,0.60897,1.09853,0.83363,1.25873,0.0017228,0.0017228,0.0017228
16,797.883,1.20311,0.98172,1.3028,0.8654,0.77952,0.8809,0.61952,1.12343,0.80116,1.25239,0.001703,0.001703,0.001703
17,837.758,1.18845,0.96152,1.27616,0.84505,0.81461,0.89003,0.63272,1.0724,0.78352,1.2209,0.0016832,0.0016832,0.0016832
18,878.754,1.16434,0.92932,1.26787,0.85117,0.7877,0.88934,0.63933,1.0539,0.80327,1.23729,0.0016634,0.0016634,0.0016634
19,918.318,1.1558,0.93717,1.28975,0.85983,0.79243,0.88296,0.62528,1.10965,0.78413,1.27542,0.0016436,0.0016436,0.0016436
20,958.078,1.16874,0.92801,1.28768,0.87748,0.77805,0.898,0.65021,1.04224,0.72599,1.21295,0.0016238,0.0016238,0.0016238
21,997.822,1.14481,0.90252,1.25364,0.85949,0.81283,0.89758,0.62725,1.09073,0.73774,1.24809,0.001604,0.001604,0.001604
22,1037.59,1.13678,0.89396,1.24514,0.85621,0.82832,0.89419,0.64551,1.04951,0.79145,1.20854,0.0015842,0.0015842,0.0015842
23,1076.51,1.12618,0.9113,1.24407,0.86119,0.80989,0.89666,0.65191,1.02864,0.76463,1.19723,0.0015644,0.0015644,0.0015644
24,1116.07,1.09541,0.85254,1.22571,0.88539,0.77179,0.8913,0.64307,1.03417,0.7749,1.20471,0.0015446,0.0015446,0.0015446
25,1155.79,1.07711,0.84153,1.22202,0.90389,0.7936,0.90246,0.6661,1.02055,0.70181,1.19299,0.0015248,0.0015248,0.0015248
26,1196.52,1.0855,0.87,1.22948,0.86275,0.80892,0.89483,0.6588,1.00773,0.76188,1.20044,0.001505,0.001505,0.001505
27,1236.27,1.05865,0.84529,1.22008,0.87642,0.80892,0.90488,0.66961,1.00063,0.71182,1.18361,0.0014852,0.0014852,0.0014852
28,1276.51,1.05091,0.84937,1.2135,0.88616,0.80032,0.90336,0.68242,0.97933,0.73593,1.18191,0.0014654,0.0014654,0.0014654
29,1318.92,1.05775,0.82583,1.21184,0.86702,0.83317,0.90391,0.67464,0.98778,0.75135,1.17963,0.0014456,0.0014456,0.0014456
30,1361.3,1.04689,0.8264,1.20399,0.8825,0.82315,0.90404,0.67706,0.98135,0.74276,1.17353,0.0014258,0.0014258,0.0014258
31,1403.32,1.02382,0.80086,1.19263,0.87731,0.82929,0.91252,0.69037,0.95489,0.6919,1.15403,0.001406,0.001406,0.001406
32,1445.79,1.02635,0.78699,1.18256,0.87139,0.81959,0.90369,0.69412,0.92624,0.70905,1.15344,0.0013862,0.0013862,0.0013862
33,1487.76,1.02444,0.79331,1.1881,0.88573,0.82698,0.9117,0.6821,0.9525,0.71338,1.15518,0.0013664,0.0013664,0.0013664
34,1529.28,1.01156,0.76926,1.1768,0.86611,0.83802,0.90446,0.68869,0.9384,0.76885,1.14457,0.0013466,0.0013466,0.0013466
35,1569.84,0.99558,0.78568,1.16547,0.90904,0.82444,0.90995,0.70241,0.92049,0.69855,1.13959,0.0013268,0.0013268,0.0013268
36,1610.76,0.98965,0.80413,1.16144,0.89562,0.82444,0.91187,0.69667,0.93072,0.71118,1.14211,0.001307,0.001307,0.001307
37,1651.21,0.98522,0.7863,1.18246,0.9227,0.80407,0.91781,0.69985,0.93603,0.69768,1.15491,0.0012872,0.0012872,0.0012872
38,1691.41,0.96821,0.75673,1.16035,0.87489,0.83123,0.90992,0.70086,0.93843,0.69733,1.15149,0.0012674,0.0012674,0.0012674
