epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5464,0.22533,12.3952,1.52493,0.56853,0.53637,0.56505,0.23691,0.24694,7.06297,1.71364,0.000552436,0.000552436,0.000552436
2,130.487,0.25056,7.92459,1.68903,0.52619,0.51406,0.51915,0.2169,0.2517,8.89791,1.71758,0.00109713,0.00109713,0.00109713
3,224.898,0.25521,7.56874,1.69715,0.58402,0.48691,0.5294,0.23084,0.25013,7.58159,1.8297,0.00163083,0.00163083,0.00163083
4,321.534,0.25354,7.76274,1.71118,0.51835,0.42483,0.41511,0.16061,0.28045,15.996,2.00542,0.00161749,0.00161749,0.00161749
5,409.661,0.24461,7.14818,1.63044,0.61292,0.56062,0.58531,0.26962,0.24038,8.36041,1.66815,0.00160099,0.00160099,0.00160099
6,462.189,0.23974,6.74561,1.62051,0.63818,0.59022,0.60956,0.28034,0.24053,7.19681,1.70643,0.00158448,0.00158448,0.00158448
7,511.435,0.23961,6.93987,1.66116,0.6391,0.59942,0.6616,0.32201,0.22835,5.93282,1.66187,0.00156798,0.00156798,0.00156798
8,561.822,0.23072,6.32279,1.60428,0.69731,0.58972,0.66891,0.31043,0.23946,5.95192,1.71003,0.00155148,0.00155148,0.00155148
9,625.639,0.23142,6.01903,1.58788,0.73538,0.60039,0.66839,0.32668,0.22299,6.60652,1.61822,0.00153497,0.00153497,0.00153497
10,720.564,0.2247,5.87437,1.58064,0.76317,0.65664,0.75849,0.38795,0.21969,4.93938,1.59517,0.00151847,0.00151847,0.00151847
11,814.856,0.22611,5.85834,1.58255,0.79884,0.70872,0.78775,0.41622,0.21441,4.71888,1.55492,0.00150197,0.00150197,0.00150197
12,897.781,0.22417,5.54175,1.57738,0.74628,0.63337,0.72828,0.35777,0.21548,5.12979,1.58108,0.00148546,0.00148546,0.00148546
13,983.857,0.22276,5.31511,1.55273,0.7645,0.71484,0.77583,0.40287,0.21735,5.22576,1.58796,0.00146896,0.00146896,0.00146896
14,1069.74,0.21495,5.27197,1.52981,0.80517,0.7055,0.79637,0.42919,0.20657,4.6725,1.53941,0.00145246,0.00145246,0.00145246
15,1149.25,0.21649,5.49182,1.54597,0.79732,0.70588,0.79914,0.44187,0.20382,4.82979,1.50818,0.00143595,0.00143595,0.00143595
16,1237.23,0.21165,4.93086,1.50141,0.82962,0.70805,0.81627,0.4603,0.19879,4.30455,1.50024,0.00141945,0.00141945,0.00141945
17,1302.64,0.20893,4.92875,1.50541,0.80701,0.68865,0.80096,0.452,0.19852,4.52653,1.49535,0.00140295,0.00140295,0.00140295
18,1348.75,0.20996,4.94137,1.49011,0.81412,0.73133,0.81901,0.46001,0.20186,4.61261,1.52087,0.00138644,0.00138644,0.00138644
19,1429.28,0.20521,4.73651,1.49357,0.84742,0.71678,0.82137,0.45742,0.19369,4.45998,1.47735,0.00136994,0.00136994,0.00136994
20,1524.05,0.2025,4.66173,1.48266,0.82573,0.73073,0.8301,0.47519,0.19296,4.4563,1.47828,0.00135344,0.00135344,0.00135344
21,1601.97,0.2016,4.63096,1.46424,0.82148,0.78554,0.85861,0.49739,0.18828,4.15026,1.43863,0.00133693,0.00133693,0.00133693
22,1687.7,0.2036,4.56697,1.48319,0.83594,0.7611,0.85358,0.48977,0.19627,3.94501,1.49988,0.00132043,0.00132043,0.00132043
23,1776.07,0.20314,4.35183,1.47365,0.80234,0.7323,0.83504,0.4832,0.19178,4.22863,1.46301,0.00130393,0.00130393,0.00130393
24,1858.47,0.1969,4.22994,1.45152,0.86938,0.74394,0.86712,0.53328,0.17872,3.77269,1.40042,0.00128742,0.00128742,0.00128742
25,1954.38,0.19102,4.32691,1.4321,0.83858,0.78101,0.8758,0.54284,0.1778,3.74747,1.39612,0.00127092,0.00127092,0.00127092
26,2046.74,0.19218,4.21679,1.41224,0.87375,0.75946,0.87334,0.52439,0.1848,3.77553,1.42056,0.00125442,0.00125442,0.00125442
27,2143.98,0.19236,4.17928,1.41834,0.83042,0.8031,0.88411,0.52752,0.18463,3.69239,1.44438,0.00123791,0.00123791,0.00123791
28,2235.9,0.19097,4.25113,1.42635,0.82615,0.77897,0.86319,0.53174,0.18414,3.87782,1.42162,0.00122141,0.00122141,0.00122141
29,2323.97,0.18744,4.05975,1.39602,0.83712,0.80504,0.88162,0.55402,0.17614,3.59946,1.35903,0.00120491,0.00120491,0.00120491
30,2418.86,0.19027,4.04544,1.40347,0.83772,0.82615,0.88653,0.55285,0.17586,3.48363,1.38702,0.0011884,0.0011884,0.0011884
31,2482.98,0.18398,3.99388,1.38266,0.85772,0.79922,0.88373,0.55078,0.17693,3.61371,1.38713,0.0011719,0.0011719,0.0011719
32,2533.88,0.18472,3.81441,1.38471,0.91358,0.77927,0.89292,0.56381,0.17321,3.55991,1.36456,0.0011554,0.0011554,0.0011554
33,2612.54,0.18428,3.81342,1.39432,0.85977,0.8031,0.89214,0.56805,0.17251,3.44778,1.3699,0.00113889,0.00113889,0.00113889
34,2698.17,0.17969,3.85247,1.37745,0.89563,0.80019,0.89836,0.57418,0.17137,3.43911,1.35324,0.00112239,0.00112239,0.00112239
35,2766.28,0.1824,3.68919,1.37465,0.88053,0.79353,0.89276,0.57621,0.17094,3.42734,1.35753,0.00110589,0.00110589,0.00110589
36,2816.26,0.17991,3.70588,1.36831,0.86613,0.80407,0.89102,0.56875,0.17153,3.56983,1.36625,0.00108938,0.00108938,0.00108938
37,2864.94,0.179,3.56537,1.34787,0.8695,0.80795,0.89426,0.57379,0.16972,3.4493,1.36789,0.00107288,0.00107288,0.00107288
38,2913.93,0.17918,3.67782,1.36602,0.87311,0.80407,0.89238,0.58253,0.1671,3.6458,1.34813,0.00105638,0.00105638,0.00105638
39,2963.77,0.17542,3.53371,1.33806,0.8879,0.83026,0.90519,0.58697,0.17228,3.41721,1.36251,0.00103987,0.00103987,0.00103987
40,3012.31,0.17472,3.37791,1.33239,0.87453,0.80407,0.89459,0.59071,0.16732,3.32335,1.33014,0.00102337,0.00102337,0.00102337
41,3062.74,0.17308,3.4423,1.34268,0.9043,0.80504,0.90076,0.60209,0.16453,3.35987,1.33661,0.00100687,0.00100687,0.00100687
42,3111.28,0.17319,3.40322,1.3456,0.8675,0.81281,0.89377,0.58481,0.16841,3.48715,1.3416,0.000990365,0.000990365,0.000990365
43,3158.07,0.17084,3.32511,1.32471,0.89338,0.81959,0.90511,0.60872,0.1634,3.27364,1.31247,0.000973861,0.000973861,0.000973861
44,3204.65,0.16603,3.2631,1.29681,0.88227,0.81474,0.9021,0.59924,0.16521,3.40309,1.33218,0.000957358,0.000957358,0.000957358
45,3252.29,0.16601,3.28765,1.28833,0.86882,0.82929,0.89947,0.6036,0.16139,3.24806,1.29908,0.000940855,0.000940855,0.000940855
46,3299.82,0.16633,3.27248,1.28353,0.88237,0.79825,0.8948,0.59725,0.16405,3.36305,1.32412,0.000924352,0.000924352,0.000924352
47,3347.49,0.16382,3.17137,1.28362,0.88972,0.81377,0.90554,0.61008,0.16323,3.26097,1.30703,0.000907848,0.000907848,0.000907848
48,3395.55,0.16739,3.20549,1.29033,0.89567,0.79933,0.90973,0.61357,0.16648,3.26489,1.32856,0.000891345,0.000891345,0.000891345
49,3443.48,0.16093,3.05139,1.27933,0.90211,0.82238,0.90876,0.61703,0.16059,3.32502,1.30303,0.000874842,0.000874842,0.000874842
50,3491.24,0.1626,3.11631,1.2974,0.89971,0.82666,0.91135,0.62814,0.16027,3.13155,1.31319,0.000858338,0.000858338,0.000858338
51,3538.85,0.16309,3.08123,1.29454,0.8801,0.83414,0.90877,0.6215,0.16084,3.12164,1.30671,0.000841835,0.000841835,0.000841835
52,3586.42,0.1616,2.99495,1.27278,0.88541,0.83317,0.90824,0.62428,0.15676,3.23121,1.29507,0.000825332,0.000825332,0.000825332
53,3633.39,0.15838,3.079,1.26593,0.91518,0.82671,0.90883,0.63144,0.15545,3.14733,1.27529,0.000808828,0.000808828,0.000808828
54,3681.31,0.15687,3.0269,1.26154,0.90908,0.84373,0.91869,0.64749,0.15116,3.11396,1.26482,0.000792325,0.000792325,0.000792325
55,3728.63,0.15449,2.89723,1.25441,0.90321,0.83272,0.91389,0.64751,0.15514,3.05865,1.28395,0.000775822,0.000775822,0.000775822
56,3777.73,0.15459,2.9628,1.24974,0.91376,0.83705,0.91696,0.64212,0.15325,3.05555,1.27319,0.000759318,0.000759318,0.000759318
57,3826.03,0.15378,2.82725,1.24092,0.89376,0.85679,0.91801,0.64466,0.15353,3.03848,1.27519,0.000742815,0.000742815,0.000742815
58,3874.02,0.15246,2.7979,1.23341,0.93116,0.82638,0.92212,0.65339,0.14759,3.00602,1.24961,0.000726312,0.000726312,0.000726312
59,3924.09,0.1512,2.87939,1.22729,0.88637,0.83985,0.91161,0.63597,0.15596,3.163,1.28612,0.000709809,0.000709809,0.000709809
60,3974.67,0.14964,2.79578,1.22072,0.91167,0.84869,0.92152,0.64838,0.15223,2.97713,1.26232,0.000693305,0.000693305,0.000693305
61,4025.75,0.14855,2.86414,1.22716,0.91258,0.8322,0.91858,0.67092,0.14443,3.01836,1.23303,0.000676802,0.000676802,0.000676802
62,4075.78,0.14957,2.77229,1.22376,0.91259,0.84051,0.91975,0.66387,0.14956,3.08133,1.25501,0.000660299,0.000660299,0.000660299
63,4126.04,0.14544,2.68825,1.20537,0.90794,0.85742,0.91987,0.67381,0.14314,3.04239,1.24377,0.000643795,0.000643795,0.000643795
64,4177.13,0.14444,2.64852,1.21047,0.90689,0.83996,0.91336,0.65861,0.15042,3.05665,1.26051,0.000627292,0.000627292,0.000627292
65,4226.91,0.14443,2.67997,1.20025,0.91139,0.83608,0.92027,0.67872,0.14333,2.97782,1.21482,0.000610789,0.000610789,0.000610789
66,4276.08,0.1451,2.61483,1.2091,0.91857,0.83802,0.91734,0.66858,0.14564,3.04359,1.21946,0.000594286,0.000594286,0.000594286
67,4326.01,0.14229,2.58116,1.18305,0.93989,0.81903,0.92057,0.67438,0.14689,2.99944,1.24399,0.000577782,0.000577782,0.000577782
68,4376.74,0.14083,2.58634,1.19627,0.89844,0.87521,0.92972,0.67453,0.14779,2.82875,1.2572,0.000561279,0.000561279,0.000561279
