epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4807,0.22533,12.3952,1.52493,0.56853,0.53637,0.56505,0.23691,0.24694,7.06297,1.71364,0.000552436,0.000552436,0.000552436
2,94.4845,0.25257,7.92885,1.70495,0.49073,0.49273,0.45762,0.18204,0.25307,9.60724,1.78681,0.00108616,0.00108616,0.00108616
3,161.302,0.25039,7.85841,1.69642,0.54868,0.47527,0.45852,0.17223,0.27596,7.87008,1.94948,0.00159788,0.00159788,0.00159788
4,254.705,0.25234,7.6227,1.72365,0.59641,0.5418,0.56597,0.23404,0.26841,9.12086,1.87068,0.00156798,0.00156798,0.00156798
5,335.749,0.24637,7.2004,1.68995,0.64551,0.5936,0.6581,0.29176,0.24414,6.29378,1.77725,0.00153497,0.00153497,0.00153497
6,383.481,0.24065,6.80808,1.68479,0.69638,0.48885,0.58779,0.24861,0.26003,7.95361,1.85211,0.00150197,0.00150197,0.00150197
7,430.889,0.23594,6.55379,1.64295,0.73716,0.62658,0.71584,0.35649,0.2266,5.60584,1.64139,0.00146896,0.00146896,0.00146896
8,478.461,0.23515,6.16264,1.63774,0.74914,0.60039,0.71065,0.3685,0.22322,5.51911,1.61459,0.00143595,0.00143595,0.00143595
9,525.468,0.22527,6.0901,1.58149,0.73128,0.65179,0.7439,0.38743,0.21818,5.4711,1.61677,0.00140295,0.00140295,0.00140295
10,572.548,0.22132,5.83198,1.58222,0.74322,0.70126,0.77305,0.41033,0.21144,4.84927,1.596,0.00136994,0.00136994,0.00136994
11,620.861,0.22076,5.54287,1.597,0.7707,0.73352,0.81433,0.4497,0.20497,4.45716,1.55099,0.00133693,0.00133693,0.00133693
12,669.509,0.21785,5.21706,1.56142,0.77116,0.64718,0.74957,0.36399,0.22125,5.67678,1.6524,0.00130393,0.00130393,0.00130393
13,748.285,0.21748,5.06263,1.53663,0.74338,0.74297,0.79496,0.42345,0.20344,4.93254,1.51765,0.00127092,0.00127092,0.00127092
14,841.862,0.20901,5.07244,1.5257,0.80767,0.69738,0.79563,0.42809,0.20443,5.00796,1.52749,0.00123791,0.00123791,0.00123791
15,934.259,0.21023,5.03209,1.51821,0.82513,0.70223,0.82228,0.44646,0.20452,4.70655,1.52658,0.00120491,0.00120491,0.00120491
16,1032.8,0.20712,4.78648,1.50254,0.80262,0.74006,0.83592,0.48684,0.19094,4.00739,1.47252,0.0011719,0.0011719,0.0011719
17,1128.16,0.20359,4.54536,1.48057,0.8207,0.7281,0.81898,0.47705,0.18966,4.24903,1.46608,0.00113889,0.00113889,0.00113889
18,1199.14,0.20481,4.65268,1.47906,0.80031,0.72842,0.81263,0.44552,0.20476,4.59712,1.56513,0.00110589,0.00110589,0.00110589
19,1245.72,0.19968,4.50852,1.46257,0.82497,0.75655,0.84475,0.49501,0.18951,4.21979,1.44103,0.00107288,0.00107288,0.00107288
20,1290.55,0.19527,4.36626,1.45046,0.80739,0.76625,0.84961,0.50257,0.19445,3.92538,1.49524,0.00103987,0.00103987,0.00103987
21,1335.87,0.19361,4.32138,1.4335,0.85332,0.7614,0.8629,0.51135,0.1866,4.09524,1.45842,0.00100687,0.00100687,0.00100687
22,1379.94,0.19215,4.23634,1.43115,0.88692,0.75314,0.86782,0.5381,0.18428,3.57478,1.43848,0.000973861,0.000973861,0.000973861
