epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1746,0.23741,11.94,1.61315,0.49763,0.45157,0.44784,0.17057,0.25741,9.19975,1.83398,0.000554051,0.000554051,0.000554051
2,85.7373,0.25555,8.84631,1.77126,0.32389,0.48557,0.35198,0.13322,0.26454,11.7394,1.921,0.00109873,0.00109873,0.00109873
3,125.94,0.26143,9.03029,1.8108,0.44441,0.38894,0.37282,0.14554,0.26595,11.1449,1.87667,0.00163241,0.00163241,0.00163241
4,165.993,0.25518,8.75324,1.7958,0.50945,0.48206,0.49056,0.20417,0.23704,8.00305,1.77225,0.00161749,0.00161749,0.00161749
5,205.737,0.25127,8.27451,1.76947,0.48834,0.43841,0.45279,0.19892,0.23782,8.78343,1.76668,0.00160099,0.00160099,0.00160099
6,245.616,0.24343,7.71911,1.72313,0.63179,0.56251,0.62076,0.27865,0.23736,6.29449,1.75382,0.00158448,0.00158448,0.00158448
7,286.001,0.24318,7.57666,1.72495,0.5925,0.56353,0.61746,0.30243,0.22137,6.97123,1.67301,0.00156798,0.00156798,0.00156798
8,327.457,0.24449,7.38883,1.70231,0.65496,0.54607,0.61946,0.29784,0.23488,6.66753,1.72204,0.00155148,0.00155148,0.00155148
9,369.411,0.23701,7.05878,1.70621,0.69851,0.591,0.66294,0.32309,0.22634,6.61332,1.69159,0.00153497,0.00153497,0.00153497
10,411.432,0.23141,6.82466,1.66571,0.76709,0.59263,0.71027,0.35671,0.21941,5.74725,1.63004,0.00151847,0.00151847,0.00151847
11,453.583,0.23028,6.60063,1.65985,0.71134,0.68962,0.73415,0.36707,0.22185,5.2839,1.647,0.00150197,0.00150197,0.00150197
12,495.745,0.22594,6.15195,1.62509,0.70054,0.63986,0.70202,0.34938,0.21304,6.18297,1.63672,0.00148546,0.00148546,0.00148546
13,537.728,0.2255,6.25163,1.63125,0.73818,0.64016,0.70431,0.33564,0.22794,6.38139,1.68689,0.00146896,0.00146896,0.00146896
14,580.524,0.22655,6.13572,1.60862,0.69645,0.68865,0.73684,0.38551,0.21278,5.52382,1.58067,0.00145246,0.00145246,0.00145246
15,623.253,0.22198,5.93477,1.61396,0.78846,0.6644,0.75846,0.37313,0.21739,5.11037,1.6286,0.00143595,0.00143595,0.00143595
16,666.217,0.22128,6.19955,1.6152,0.75126,0.62689,0.71464,0.37937,0.21087,5.4536,1.59682,0.00141945,0.00141945,0.00141945
17,709.277,0.21964,5.82132,1.58645,0.71609,0.70213,0.76873,0.4145,0.20516,4.82796,1.58161,0.00140295,0.00140295,0.00140295
18,751.807,0.22142,6.01986,1.62012,0.76737,0.6847,0.77992,0.41634,0.20457,4.75967,1.57125,0.00138644,0.00138644,0.00138644
19,793.857,0.21417,5.73796,1.59691,0.70167,0.65082,0.72482,0.36576,0.21529,5.63545,1.63137,0.00136994,0.00136994,0.00136994
20,836.365,0.21756,5.65546,1.59879,0.75143,0.67992,0.7593,0.39158,0.21104,5.6265,1.60223,0.00135344,0.00135344,0.00135344
21,878.83,0.21411,5.4683,1.56823,0.79615,0.71387,0.80816,0.43217,0.20208,4.52746,1.54851,0.00133693,0.00133693,0.00133693
22,921.764,0.21178,5.37338,1.56951,0.81149,0.7323,0.82139,0.47009,0.19258,4.29208,1.50476,0.00132043,0.00132043,0.00132043
23,964.028,0.21448,5.2872,1.56981,0.8186,0.70805,0.81127,0.45762,0.19391,4.52034,1.52837,0.00130393,0.00130393,0.00130393
24,1005.75,0.20713,5.02133,1.54556,0.82941,0.70736,0.82282,0.46864,0.19347,4.14883,1.50709,0.00128742,0.00128742,0.00128742
25,1047.5,0.20502,5.04444,1.54047,0.83119,0.75655,0.84305,0.47838,0.19684,4.03426,1.5251,0.00127092,0.00127092,0.00127092
26,1089.75,0.20499,4.9814,1.52506,0.84692,0.7137,0.83019,0.4743,0.19033,4.18209,1.47653,0.00125442,0.00125442,0.00125442
27,1131.77,0.20229,4.85444,1.51167,0.80777,0.754,0.81863,0.4636,0.19496,4.47164,1.50532,0.00123791,0.00123791,0.00123791
28,1173.79,0.20005,4.88468,1.50398,0.82498,0.74066,0.83823,0.47277,0.19425,4.42549,1.50647,0.00122141,0.00122141,0.00122141
29,1216.34,0.19995,4.84583,1.52539,0.85689,0.74394,0.85149,0.50381,0.18413,3.94087,1.44849,0.00120491,0.00120491,0.00120491
30,1258.65,0.19707,4.73394,1.50425,0.82845,0.75752,0.84613,0.49713,0.19146,3.93581,1.49608,0.0011884,0.0011884,0.0011884
31,1300.79,0.19379,4.57851,1.48543,0.82117,0.77942,0.85503,0.51458,0.18662,3.80144,1.45697,0.0011719,0.0011719,0.0011719
32,1342.99,0.19795,4.57647,1.47864,0.8306,0.74685,0.84621,0.48744,0.18911,4.02758,1.47333,0.0011554,0.0011554,0.0011554
33,1384.93,0.19835,4.57926,1.48723,0.82347,0.80213,0.86703,0.51516,0.18384,3.81354,1.44823,0.00113889,0.00113889,0.00113889
34,1427.05,0.19198,4.43348,1.46897,0.84294,0.76528,0.84688,0.50772,0.18133,4.05642,1.43745,0.00112239,0.00112239,0.00112239
35,1469.62,0.19195,4.38721,1.45958,0.83172,0.76702,0.85708,0.51277,0.18074,3.87561,1.43001,0.00110589,0.00110589,0.00110589
36,1511.34,0.19219,4.38868,1.45821,0.82421,0.75944,0.84567,0.51103,0.18077,4.22093,1.43923,0.00108938,0.00108938,0.00108938
37,1802.49,0.18933,4.35938,1.47602,0.87043,0.78274,0.87652,0.53932,0.17799,3.60959,1.42688,0.00107288,0.00107288,0.00107288
38,1839.86,0.18636,4.16242,1.44461,0.8578,0.79573,0.88195,0.55837,0.17658,3.43143,1.42971,0.00105638,0.00105638,0.00105638
39,1878.56,0.18606,4.133,1.43618,0.85895,0.77207,0.87735,0.53895,0.1748,3.56694,1.40198,0.00103987,0.00103987,0.00103987
40,1934.85,0.18412,3.97528,1.43127,0.84251,0.77312,0.86222,0.52403,0.17899,3.8228,1.44492,0.00102337,0.00102337,0.00102337
41,1985.7,0.18653,4.06564,1.44461,0.86955,0.75461,0.87091,0.54634,0.17456,3.59982,1.4278,0.00100687,0.00100687,0.00100687
42,2033.32,0.18198,4.07507,1.4147,0.88648,0.77256,0.8749,0.54138,0.17395,3.6519,1.39282,0.000990365,0.000990365,0.000990365
43,2081.45,0.18303,3.98117,1.41627,0.84106,0.78177,0.87523,0.54909,0.174,3.66624,1.41319,0.000973861,0.000973861,0.000973861
44,2130.42,0.1821,3.98077,1.42595,0.87052,0.80207,0.88847,0.55922,0.17185,3.49384,1.40965,0.000957358,0.000957358,0.000957358
45,2180.22,0.18156,3.93947,1.42658,0.84461,0.81959,0.88555,0.56,0.17088,3.41803,1.39066,0.000940855,0.000940855,0.000940855
46,2229.14,0.1765,3.84011,1.38173,0.89696,0.77983,0.89341,0.56845,0.17022,3.52462,1.40027,0.000924352,0.000924352,0.000924352
47,2278.1,0.17724,3.84012,1.3918,0.8751,0.79825,0.89157,0.57974,0.16643,3.39633,1.37208,0.000907848,0.000907848,0.000907848
48,2327.38,0.17609,3.61687,1.39409,0.88839,0.78751,0.89011,0.57083,0.16791,3.3673,1.39512,0.000891345,0.000891345,0.000891345
49,2376.78,0.17579,3.67218,1.39383,0.91045,0.77498,0.89388,0.57174,0.17332,3.44797,1.40646,0.000874842,0.000874842,0.000874842
50,2426.54,0.17294,3.65905,1.36724,0.93168,0.75395,0.88638,0.5778,0.16406,3.4359,1.35979,0.000858338,0.000858338,0.000858338
51,2475.97,0.16966,3.54199,1.35373,0.89653,0.80504,0.89934,0.59832,0.16219,3.35371,1.3428,0.000841835,0.000841835,0.000841835
52,2527.64,0.17029,3.54863,1.34517,0.84184,0.81052,0.88706,0.57845,0.16407,3.43184,1.3577,0.000825332,0.000825332,0.000825332
53,2577.98,0.17181,3.64671,1.35778,0.84434,0.82075,0.88994,0.59403,0.15947,3.46667,1.34082,0.000808828,0.000808828,0.000808828
54,2627.56,0.1705,3.47909,1.35655,0.87861,0.82138,0.89597,0.59282,0.16554,3.37438,1.35993,0.000792325,0.000792325,0.000792325
55,2677.1,0.16845,3.44027,1.34671,0.89996,0.80278,0.89847,0.59051,0.16281,3.26532,1.36989,0.000775822,0.000775822,0.000775822
56,2729.65,0.16669,3.43975,1.33778,0.85481,0.82233,0.9002,0.60685,0.15927,3.24373,1.32587,0.000759318,0.000759318,0.000759318
57,2783.96,0.1647,3.23272,1.32372,0.88622,0.80838,0.90043,0.59672,0.16195,3.26402,1.35405,0.000742815,0.000742815,0.000742815
58,2842.77,0.16443,3.29569,1.32218,0.89774,0.80893,0.90782,0.62355,0.15651,3.10261,1.31471,0.000726312,0.000726312,0.000726312
59,2898.4,0.1655,3.45407,1.33252,0.87403,0.82773,0.90623,0.60678,0.15802,3.16732,1.32696,0.000709809,0.000709809,0.000709809
60,2952.79,0.16261,3.25135,1.31638,0.88416,0.83658,0.91009,0.62098,0.15546,3.13272,1.32486,0.000693305,0.000693305,0.000693305
61,3006.94,0.16144,3.34333,1.31419,0.88779,0.82444,0.90626,0.62266,0.15424,3.17632,1.30815,0.000676802,0.000676802,0.000676802
62,3060.26,0.15877,3.16157,1.2984,0.88966,0.84675,0.91121,0.63045,0.15225,3.13315,1.29043,0.000660299,0.000660299,0.000660299
63,3112.38,0.15782,3.13585,1.29591,0.90247,0.8322,0.91551,0.62847,0.15491,3.05106,1.30611,0.000643795,0.000643795,0.000643795
64,3166.07,0.15911,3.17287,1.29363,0.87634,0.83026,0.90674,0.62714,0.15094,3.23069,1.29236,0.000627292,0.000627292,0.000627292
65,3223.02,0.15622,3.07668,1.29435,0.90422,0.81496,0.9148,0.63476,0.15356,3.02052,1.3125,0.000610789,0.000610789,0.000610789
66,3279.13,0.15643,3.15215,1.28582,0.87067,0.84869,0.91689,0.64143,0.14889,3.07432,1.28397,0.000594286,0.000594286,0.000594286
67,3338.56,0.15249,2.97138,1.27881,0.93889,0.79146,0.91012,0.63558,0.15135,3.18982,1.28934,0.000577782,0.000577782,0.000577782
68,3393.86,0.15125,2.89616,1.27976,0.91408,0.81514,0.91786,0.64911,0.14993,3.06366,1.29742,0.000561279,0.000561279,0.000561279
69,3447.32,0.15373,3.08331,1.27395,0.89804,0.8287,0.91592,0.65372,0.14352,3.11794,1.25845,0.000544776,0.000544776,0.000544776
70,3501.54,0.15041,2.94914,1.26884,0.91966,0.80989,0.91645,0.64671,0.14892,3.07212,1.28128,0.000528272,0.000528272,0.000528272
