epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.972,0.23637,11.5889,1.62851,0.45345,0.47333,0.44811,0.17319,0.2579,9.40538,1.93255,0.000554051,0.000554051,0.000554051
2,288.883,0.26041,8.63565,1.81203,0.48944,0.48072,0.45298,0.17991,0.26344,8.82668,1.95451,0.00109873,0.00109873,0.00109873
3,428.265,0.26027,8.69985,1.79494,0.48346,0.47388,0.46158,0.17539,0.26857,11.5165,1.92794,0.00163241,0.00163241,0.00163241
4,568.194,0.25975,8.51415,1.81053,0.57189,0.44229,0.48247,0.18053,0.27576,11.3116,2.01877,0.00161749,0.00161749,0.00161749
5,709.442,0.2529,8.30917,1.7926,0.59551,0.49176,0.55628,0.24772,0.23723,7.26908,1.75923,0.00160099,0.00160099,0.00160099
6,853.276,0.24953,7.84246,1.77067,0.60195,0.56256,0.59237,0.27318,0.23727,6.88204,1.77015,0.00158448,0.00158448,0.00158448
7,999.57,0.24454,7.64223,1.73161,0.60379,0.5354,0.61016,0.27922,0.23952,7.14467,1.77274,0.00156798,0.00156798,0.00156798
8,1133.98,0.23893,7.12883,1.70986,0.68981,0.54122,0.63958,0.30985,0.23423,7.27438,1.70241,0.00155148,0.00155148,0.00155148
9,1280.88,0.2423,7.17089,1.72138,0.63808,0.58196,0.64844,0.31876,0.22641,7.14719,1.70252,0.00153497,0.00153497,0.00153497
10,1422.47,0.23095,7.05563,1.65927,0.71539,0.61785,0.69657,0.34535,0.22279,5.76949,1.65951,0.00151847,0.00151847,0.00151847
11,1567.15,0.23472,6.66884,1.68016,0.73166,0.57918,0.6961,0.35918,0.22021,5.94298,1.64992,0.00150197,0.00150197,0.00150197
12,1711.92,0.23262,6.58951,1.6657,0.6975,0.61591,0.68328,0.33803,0.21402,6.35827,1.62163,0.00148546,0.00148546,0.00148546
13,1857.48,0.2278,6.21154,1.62249,0.75987,0.66909,0.76386,0.39366,0.21561,5.46471,1.58058,0.00146896,0.00146896,0.00146896
14,2002.35,0.22788,6.10551,1.62279,0.72112,0.6644,0.75061,0.38867,0.21539,5.38564,1.61536,0.00145246,0.00145246,0.00145246
15,2149.1,0.22546,5.97657,1.62612,0.74831,0.68768,0.75852,0.40112,0.2136,4.91554,1.59898,0.00143595,0.00143595,0.00143595
16,2295.12,0.22286,5.79381,1.61884,0.76533,0.66925,0.75383,0.3764,0.22054,5.6164,1.637,0.00141945,0.00141945,0.00141945
17,2442.29,0.22301,5.82934,1.61961,0.77429,0.67992,0.7655,0.41812,0.20117,5.35195,1.5349,0.00140295,0.00140295,0.00140295
18,2588.4,0.21731,5.65501,1.57285,0.77727,0.67018,0.77543,0.419,0.20308,5.0751,1.5551,0.00138644,0.00138644,0.00138644
19,2731.88,0.21652,5.46458,1.57824,0.83707,0.66773,0.80939,0.44459,0.20462,4.48547,1.53776,0.00136994,0.00136994,0.00136994
20,2981.02,0.21537,5.4661,1.5987,0.83668,0.65567,0.80139,0.43886,0.20248,4.64194,1.54057,0.00135344,0.00135344,0.00135344
21,3153.59,0.21656,5.45909,1.58953,0.80306,0.73036,0.82504,0.44934,0.20238,4.50054,1.58487,0.00133693,0.00133693,0.00133693
22,3309.66,0.2114,5.335,1.56423,0.82375,0.71484,0.81171,0.45878,0.201,4.46413,1.52266,0.00132043,0.00132043,0.00132043
23,3468.22,0.20722,5.13213,1.54782,0.79541,0.73912,0.81818,0.46693,0.19437,4.50641,1.51438,0.00130393,0.00130393,0.00130393
24,3616.75,0.20467,4.88167,1.53407,0.82731,0.71969,0.83094,0.48595,0.19377,4.23974,1.5082,0.00128742,0.00128742,0.00128742
25,3781.2,0.2069,4.96292,1.54391,0.79986,0.742,0.83854,0.48971,0.19187,4.09918,1.50405,0.00127092,0.00127092,0.00127092
26,3950.78,0.20483,4.79285,1.53664,0.83293,0.75918,0.84283,0.48364,0.20061,4.05081,1.53818,0.00125442,0.00125442,0.00125442
27,4110.49,0.20525,4.7908,1.51433,0.84659,0.73329,0.8397,0.49095,0.19234,4.12358,1.50309,0.00123791,0.00123791,0.00123791
28,4264.94,0.20295,4.83028,1.52606,0.83279,0.7323,0.827,0.48268,0.1892,4.11007,1.49498,0.00122141,0.00122141,0.00122141
29,4418.47,0.20169,4.75628,1.5198,0.80705,0.79922,0.858,0.51473,0.19032,3.88583,1.504,0.00120491,0.00120491,0.00120491
30,4580.29,0.19759,4.63773,1.49201,0.83348,0.73306,0.83623,0.48013,0.19566,4.23038,1.50199,0.0011884,0.0011884,0.0011884
31,4834.28,0.19605,4.69129,1.48111,0.85866,0.72163,0.86066,0.51448,0.18512,3.85026,1.44966,0.0011719,0.0011719,0.0011719
32,5134.13,0.19397,4.40315,1.46712,0.86658,0.7711,0.8679,0.53803,0.17903,3.71251,1.41595,0.0011554,0.0011554,0.0011554
33,5418.44,0.19072,4.32627,1.4487,0.85301,0.77013,0.86151,0.51536,0.18366,3.96484,1.46272,0.00113889,0.00113889,0.00113889
34,5713.86,0.19448,4.44337,1.47183,0.878,0.77498,0.8672,0.51883,0.18625,3.74511,1.44209,0.00112239,0.00112239,0.00112239
35,5987.11,0.19582,4.45148,1.46425,0.83612,0.78683,0.86699,0.54019,0.17687,3.70313,1.41484,0.00110589,0.00110589,0.00110589
36,6259.57,0.18713,4.19135,1.44729,0.86748,0.78661,0.87414,0.53626,0.17954,3.72159,1.41858,0.00108938,0.00108938,0.00108938
37,6485.47,0.1883,4.18121,1.42662,0.89399,0.76885,0.88009,0.55688,0.17601,3.5991,1.41007,0.00107288,0.00107288,0.00107288
38,6649.76,0.18755,4.15633,1.42418,0.87066,0.80965,0.89266,0.55755,0.1758,3.48227,1.39836,0.00105638,0.00105638,0.00105638
